movie_tv_goal_4-21###6617	4	"DA: <knowledge> ( tv ) available_options "" 1 "" , decade "" 2010er "" , director "" Nobuhiro Doi "" , douban_score "" 9.1 "" , episode_length "" 45 Minuten "" , episodes "" 10 Folgen "" , name_list "" Matsu Takako/Mitsushima Hikari/Takahashi Issey "" , premiere_time "" 17.01.2017 in Japan "" , production_country_or_area "" Japan "" , star "" Matsu Takako "" , title "" Quartett "" , type "" spannend "" <endofknowledge> <state> ( tv ) decade equal_to "" 2010er "" , production_country_or_area equal_to "" japanische Fernsehsendung "" , type equal_to "" spannend "" <endofstate> <history> AGENT_ACTS_PREV: ( tv ) request type AGENT_ACTS: ( tv ) recommend title equal_to "" Quartett "" USER: Wann war die Premiere? <endofhistory>"	"( tv ) inform premiere_time equal_to "" 17. Januar 2017 """	premiere_time	17. Januar 2017
attraction_restaurant_hotel_goal_3-46###6201	1	DST: <state> null <endofstate> <history> USER: Als erstes Ziel unserer Abschlussreise werden wir eine Reise nach Suzhou unternehmen. Könnt ihr mir ein paar Hotels im Suzhou New District empfehlen? <endofhistory>	"( hotel ) area equal_to "" Neuer Bezirk von Suzhou """	area	Neuer Bezirk von Suzhou
attraction_restaurant_hotel_goal_3-46###6201	5	"DST: <state> ( hotel ) area equal_to "" Neuer Bezirk von Suzhou "" , name equal_to "" New City Grand Rezen Hotel "" , pricerange equal_to "" etwas teurer "" <endofstate> <history> AGENT_ACTS_PREV: ( hotel ) inform room_charge equal_to "" 919 Yuan "" AGENT_ACTS: ( hotel ) recommend phone_number equal_to "" 0512-68182888 "" USER: Können Sie einige beliebte landschaftlich reizvolle Orte in diesem Bezirk empfehlen? <endofhistory>"	"( attraction ) type equal_to "" landwirtschaftliche Aussichtspunkte "" ( hotel ) area equal_to "" Neuer Bezirk von Suzhou "" , name equal_to "" New City Grand Rezen Hotel "" , pricerange equal_to "" etwas teurer """	type	landwirtschaftliche Aussichtspunkte
attraction_restaurant_hotel_goal_3-46###6201	6	"DST: <state> ( attraction ) type equal_to "" landwirtschaftliche Aussichtspunkte "" , ( hotel ) area equal_to "" Neuer Bezirk von Suzhou "" , name equal_to "" New City Grand Rezen Hotel "" , pricerange equal_to "" etwas teurer "" <endofstate> <history> AGENT_ACTS_PREV: ( hotel ) recommend phone_number equal_to "" 0512-68182888 "" AGENT_ACTS: ( attraction ) request name USER: Wie wäre es mit dem Ticket für dieses Naturgebiet? Wie viel kostet das? <endofhistory>"	"( attraction ) name equal_to "" Tianping Mountain Scenic Area "" , type equal_to "" landwirtschaftliche Aussichtspunkte "" ( hotel ) area equal_to "" Neuer Bezirk von Suzhou "" , name equal_to "" New City Grand Rezen Hotel "" , pricerange equal_to "" etwas teurer """	name	Tianping Mountain Scenic Area
attraction_restaurant_hotel_goal_3-46###6201	7	"DA: <knowledge> ( attraction ) address "" Lingtian Road, Wuzhong District, Suzhou City "" , area "" Wuzhong District "" , available_options "" 1 "" , consumption "" mäßig "" , features "" Es ist die Grabstätte der Vorfahren von Fan Zhongyan und es macht großen Spaß, auf den felsigen Straßen in der Gegend zu klettern. Außerdem können Sie dort Mitte bis Ende November die schönen roten Ahornbäume sehen. "" , metro_station "" FALSCH "" , name "" Tianping Mountain Scenic Area "" , opening_hours "" 07:30-17:00 "" , phone_number "" 0512-66387422 "" , score "" 4.5 "" , the_most_suitable_people "" Freunde "" , ticket_price "" 30 Yuan "" , type "" landschaftlich reizvoller Ort "" , ( hotel ) address "" Nr. 1, Shishan Road, Suzhou New District, Suzhou "" , area "" Neuer Bezirk von Suzhou "" , available_options "" 2 "" , hotel_type "" Erholungsort "" , name "" Suzhou New City Grand Rezen Hotel "" , parking "" frei "" , phone_number "" 0512-68182888 "" , pricerange "" etwas teurer "" , room_charge "" 919 Yuan "" , room_type "" Kingsize-Zimmer "" , score "" 4.8 "" , star "" 5 "" <endofknowledge> <state> ( attraction ) name equal_to "" Tianping Mountain Scenic Area "" , type equal_to "" landwirtschaftliche Aussichtspunkte "" , ( hotel ) area equal_to "" Neuer Bezirk von Suzhou "" , name equal_to "" New City Grand Rezen Hotel "" , pricerange equal_to "" etwas teurer "" <endofstate> <history> AGENT_ACTS_PREV: ( attraction ) request name AGENT_ACTS: ( attraction ) inform ticket_price equal_to "" 30 Yuan "" USER: Ok, kannst du mir die Telefonnummer sagen? <endofhistory>"	"( attraction ) inform phone_number equal_to "" 0512-66387422. """	phone_number	0512-66387422.
Hospital_goal_4-49###4239	4	"DA: <knowledge> ( hospital ) 3．0t_mri "" Stimmt "" , address "" No. 118, Wansheng Street "" , area "" Industriepark Suzhou "" , available_options "" 1 "" , bus_routes "" Nr. 2, Nr. 47, Nr. 106, Nr. 206, Nr. 215, Nr. 258, Nr. 6, Nr. 108, Nr. 110, Nr. 116 oder Nr. 166 "" , ct "" Stimmt "" , dsa "" Stimmt "" , general_or_specialized "" Allgemeinkrankenhaus "" , key_departments "" Herz-Kreislauf | Onkologie | Neurochirurgie | Stomatologie | Pädiatrie "" , level "" Tertiär- "" , metro_station "" N / A "" , name "" Suzhou-Kowloon-Krankenhaus "" , phone "" 62629999 "" , public_or_private "" Privatgelände "" , registration_time "" 7:30-11:30, 12:30-16:30 "" , service_time "" 8:00-12:00, 13:00-17:00 "" <endofknowledge> <state> ( hospital ) general_or_specialized equal_to "" Allgemeinkrankenhaus "" , key_departments equal_to "" Kinderklinik "" , name equal_to "" Suzhou-Kowloon-Krankenhaus "" <endofstate> <history> AGENT_ACTS_PREV: ( hospital ) inform phone equal_to "" 62629999 "" AGENT_ACTS: ( hospital ) inform address equal_to "" No. 118, Wansheng Street "" USER: Übrigens, hat es einen CT-Scan? <endofhistory>"	"( hospital ) inform CT equal_to "" Ja """	CT	Ja
attraction_restaurant_hotel_goal_4-66_v2###2033	1	"DA: <knowledge> ( hotel ) address "" No. 268, Changjiang Road, Changshu "" , area "" Changshu "" , available_options "" 2 "" , hotel_type "" Geschäft "" , name "" Atour Hotel in Changjiang Road, Changshu "" , parking "" frei "" , phone_number "" 0512-51661666 "" , pricerange "" mäßig "" , room_charge "" 312 Yuan "" , room_type "" Kingsize-Zimmer "" , score "" 4.8 "" , star "" 4 "" <endofknowledge> <state> ( hotel ) area equal_to "" Changshu "" , star equal_to "" 4 "" <endofstate> <history> USER: Hallo, ich bin gerade für meine Reise in Suzhou angekommen. Können Sie mir helfen, ein 4-Sterne Hotel in Changshu zu finden? <endofhistory>"	"( hotel ) recommend name equal_to "" Atour Hotel in der Changjiang Straße """	name	Atour Hotel in der Changjiang Straße
attraction_restaurant_hotel_goal_4-66_v2###2033	2	"DST: <state> ( hotel ) area equal_to "" Changshu "" , star equal_to "" 4 "" <endofstate> <history> AGENT_ACTS: ( hotel ) recommend name equal_to "" Atour Hotel in der Changjiang Straße "" USER: Wie viel kostet ein Zimmer mit Kingsize-Bett? <endofhistory>"	"( hotel ) area equal_to "" Changshu "" , name equal_to "" Atour Hotel in der Changjiang Straße "" , room_type equal_to "" Kingsize-Zimmer "" , star equal_to "" 4 """	room_type	Kingsize-Zimmer
attraction_restaurant_hotel_goal_4-66_v2###2033	3	"DST: <state> ( hotel ) area equal_to "" Changshu "" , name equal_to "" Atour Hotel in der Changjiang Straße "" , room_type equal_to "" Kingsize-Zimmer "" , star equal_to "" 4 "" <endofstate> <history> AGENT_ACTS_PREV: ( hotel ) recommend name equal_to "" Atour Hotel in der Changjiang Straße "" AGENT_ACTS: ( hotel ) inform room_charge equal_to "" 312 Yuan "" USER: Ich weiß, dass Mudu Town in Suzhou ziemlich berühmt ist. Können Sie mir die Öffnungszeiten sagen? <endofhistory>"	"( attraction ) name equal_to "" Mudu-Stadt "" ( hotel ) area equal_to "" Changshu "" , name equal_to "" Atour Hotel in der Changjiang Straße "" , room_type equal_to "" Kingsize-Zimmer "" , star equal_to "" 4 """	name	Mudu-Stadt
weather_goal_3-49_v2###10759	1	"DA: <knowledge> ( weather ) available_options "" 1 "" , city "" Xiamen "" , date "" nächsten Sonntag "" , tamperature "" Die Höchsttemperatur beträgt 22 Grad Celsius, die Mindesttemperatur 14 Grad Celsius "" , uv_intensity "" sehr stark "" , weather_condition "" sonnig "" , wind "" Nordosttruppe 2 "" <endofknowledge> <state> ( weather ) city equal_to "" Xiamen "" , date equal_to "" nächsten Sonntag "" <endofstate> <history> USER: Ich werde nächste Woche zum Arbeiten nach Xiamen kommen, bin mir aber noch nicht sicher, an welchem ​​Tag ich aufbrechen werde, das hängt vom Wetter ab. Könnten Sie mir helfen, die Windstärke und -richtung für nächsten Sonntag zu überprüfen? <endofhistory>"	"( weather ) inform wind equal_to "" nächsten Sonntag in Xiamen """	wind	nächsten Sonntag in Xiamen
weather_goal_3-49_v2###10759	5	"DA: <knowledge> ( weather ) available_options "" 1 "" , city "" Xiamen "" , date "" nächsten Sonntag "" , tamperature "" Die Höchsttemperatur beträgt 22 Grad Celsius, die Mindesttemperatur 14 Grad Celsius "" , uv_intensity "" sehr stark "" , weather_condition "" sonnig "" , wind "" Nordosttruppe 2 "" <endofknowledge> <state> ( weather ) city equal_to "" Xiamen "" , date equal_to "" nächsten Sonntag "" <endofstate> <history> AGENT_ACTS_PREV: ( weather ) inform tamperature equal_to "" Die Höchsttemperatur beträgt 22 Grad Celsius, die Mindesttemperatur 14 Grad Celsius "" AGENT_ACTS: ( weather ) inform weather_condition equal_to "" sonnig "" USER: Groß. Wie sieht es mit der Temperatur aus? Ist sie ähnlich wie am nächsten Sonntag? <endofhistory>"	"( weather ) inform tamperature equal_to "" Die Höchsttemperatur beträgt 20 Grad Celsius, die Mindesttemperatur 12 Grad Celsius """	tamperature	Die Höchsttemperatur beträgt 20 Grad Celsius, die Mindesttemperatur 12 Grad Celsius
attraction_restaurant_goal_3-66###6081	1	DST: <state> null <endofstate> <history> USER: Hallo, ich bin gerade wegen der Arbeit nach Suzhou gekommen, ich bin nur kurz hier und möchte etwas unternehmen. Gibt es nicht so teure Gärten im Suzhou-Stil, die ich für einen kurzen Besuch besuchen könnte? <endofhistory>	"( attraction ) consumption equal_to "" nicht so teuer "" , type equal_to "" Garten im Suzhou-Stil """	consumption	nicht so teuer
attraction_restaurant_goal_3-66###6081	1	DST: <state> null <endofstate> <history> USER: Hallo, ich bin gerade wegen der Arbeit nach Suzhou gekommen, ich bin nur kurz hier und möchte etwas unternehmen. Gibt es nicht so teure Gärten im Suzhou-Stil, die ich für einen kurzen Besuch besuchen könnte? <endofhistory>	"( attraction ) consumption equal_to "" nicht so teuer "" , type equal_to "" Garten im Suzhou-Stil """	type	Garten im Suzhou-Stil
attraction_restaurant_goal_3-66###6081	2	"DA: <knowledge> ( attraction ) address "" No. 11 Kuojiatou Alley, Daichengqiao Road, Gusu District, Suzhou "" , area "" Bezirk Gusu "" , available_options "" 1 "" , consumption "" mäßig "" , features "" Es ist ein berühmter schöner Garten mit traditionellen Opernaufführungen in der Nacht. "" , metro_station "" FALSCH "" , name "" Meister des Netzgartens "" , opening_hours "" 07:30-17:30 "" , phone_number "" 0512-65293190 "" , score "" 4.6 "" , the_most_suitable_people "" Freunde "" , ticket_price "" 40 Yuan "" , type "" Garten im Suzhou-Stil "" <endofknowledge> <state> ( attraction ) consumption equal_to "" nicht so teuer "" , name equal_to "" Meister des Netzgartens "" , type equal_to "" Garten im Suzhou-Stil "" <endofstate> <history> AGENT_ACTS: ( attraction ) recommend name equal_to "" Meister des Netzgartens "" USER: Es klingt großartig. Wo liegt das? <endofhistory>"	"( attraction ) inform address equal_to "" Kuojiatou Allee Nr. 11, Daichengqiao Straße, Bezirk Gusu """	address	Kuojiatou Allee Nr. 11, Daichengqiao Straße, Bezirk Gusu
attraction_restaurant_goal_3-66###6081	3	"DST: <state> ( attraction ) consumption equal_to "" nicht so teuer "" , name equal_to "" Meister des Netzgartens "" , type equal_to "" Garten im Suzhou-Stil "" <endofstate> <history> AGENT_ACTS_PREV: ( attraction ) recommend name equal_to "" Meister des Netzgartens "" AGENT_ACTS: ( attraction ) inform address equal_to "" Kuojiatou Allee Nr. 11, Daichengqiao Straße, Bezirk Gusu "" USER: Nun, ich möchte die U-Bahn nehmen. Gibt es eine direkte U-Bahn-Verbindung zum Garten des Meisters der Netze? <endofhistory>"	"( attraction ) consumption equal_to "" nicht so teuer "" , name equal_to "" Der Meister des Netzgartens "" , type equal_to "" Garten im Suzhou-Stil """	name	Der Meister des Netzgartens
attraction_restaurant_goal_3-66###6081	4	"DST: <state> ( attraction ) consumption equal_to "" nicht so teuer "" , name equal_to "" Der Meister des Netzgartens "" , type equal_to "" Garten im Suzhou-Stil "" <endofstate> <history> AGENT_ACTS_PREV: ( attraction ) inform address equal_to "" Kuojiatou Allee Nr. 11, Daichengqiao Straße, Bezirk Gusu "" AGENT_ACTS: ( attraction ) inform metro_station equal_to "" keine "" USER: Okay, gut. Übrigens möchte ich etwas preiswertes südkoreanisches Essen in der Nähe des Gartens haben. <endofhistory>"	"( attraction ) consumption equal_to "" nicht so teuer "" , name equal_to "" Der Meister des Netzgartens "" , type equal_to "" Garten im Suzhou-Stil "" ( restaurant ) cuisine equal_to "" südkoreanisch "" , pricerange equal_to "" preisgünstig """	pricerange	preisgünstig
attraction_restaurant_goal_3-66###6081	4	"DA: <knowledge> ( attraction ) address "" No. 11 Kuojiatou Alley, Daichengqiao Road, Gusu District, Suzhou "" , area "" Bezirk Gusu "" , available_options "" 1 "" , consumption "" mäßig "" , features "" Es ist ein berühmter schöner Garten mit traditionellen Opernaufführungen in der Nacht. "" , metro_station "" FALSCH "" , name "" Meister des Netzgartens "" , opening_hours "" 07:30-17:30 "" , phone_number "" 0512-65293190 "" , score "" 4.6 "" , the_most_suitable_people "" Freunde "" , ticket_price "" 40 Yuan "" , type "" Garten im Suzhou-Stil "" , ( restaurant ) address "" A502, 5F of Xicheng Yongjie Building, No. 19, Guangji South Road "" , area "" Bezirk Gusu "" , available_options "" 3 "" , business_hours "" 11:00–14:00 und 16:30–21:30, Montag bis Sonntag "" , cuisine "" Koreanisch "" , dishes "" Steintopfreis "" , metro_station "" Stimmt "" , name "" Nongleyuan Holzkohlegrill "" , per_capita_consumption "" 88 Yuan "" , phone_number "" 0512-68659822 "" , pricerange "" mäßig "" , score "" 4.6 "" <endofknowledge> <state> ( attraction ) consumption equal_to "" nicht so teuer "" , name equal_to "" Der Meister des Netzgartens "" , type equal_to "" Garten im Suzhou-Stil "" , ( restaurant ) cuisine equal_to "" südkoreanisch "" , pricerange equal_to "" preisgünstig "" <endofstate> <history> AGENT_ACTS_PREV: ( attraction ) inform address equal_to "" Kuojiatou Allee Nr. 11, Daichengqiao Straße, Bezirk Gusu "" AGENT_ACTS: ( attraction ) inform metro_station equal_to "" keine "" USER: Okay, gut. Übrigens möchte ich etwas preiswertes südkoreanisches Essen in der Nähe des Gartens haben. <endofhistory>"	"( restaurant ) recommend name equal_to "" Seoul South Korean Cuisine """	name	Seoul South Korean Cuisine
attraction_restaurant_goal_3-66###6081	5	"DST: <state> ( attraction ) consumption equal_to "" nicht so teuer "" , name equal_to "" Der Meister des Netzgartens "" , type equal_to "" Garten im Suzhou-Stil "" , ( restaurant ) cuisine equal_to "" südkoreanisch "" , pricerange equal_to "" preisgünstig "" <endofstate> <history> AGENT_ACTS_PREV: ( attraction ) inform metro_station equal_to "" keine "" AGENT_ACTS: ( restaurant ) recommend name equal_to "" Seoul South Korean Cuisine "" USER: Nun, es klingt, als wäre die Küche dort authentisch. Wie sieht es mit den durchschnittlichen Kosten aus? <endofhistory>"	"( attraction ) consumption equal_to "" nicht so teuer "" , name equal_to "" Der Meister des Netzgartens "" , type equal_to "" Garten im Suzhou-Stil "" ( restaurant ) cuisine equal_to "" südkoreanisch "" , name equal_to "" Seoul South Korean Cuisine "" , pricerange equal_to "" fair """	pricerange	fair
attraction_goal_4-39###4879	1	DST: <state> null <endofstate> <history> USER: Hallo, ich bin ein Einheimischer in Suzhou, aber ich bin nicht ganz vertraut mit spaßigen Orten in der Umgebung. Mein Freund kommt mich in Suzhou besuchen. Ich habe vor, ihn in einen Vergnügungspark mitzunehmen. Könnt ihr mir ein etwas teureres empfehlen? <endofhistory>	"( attraction ) type equal_to "" Freizeitpark """	type	Freizeitpark
attraction_restaurant_goal_2-6_v2###8261	1	DST: <state> null <endofstate> <history> USER: Hallo, mein Freund wird mich in Suzhou besuchen und ich hoffe, eine bezahlbare Wohnung in der Nähe meines Wohnortes zu finden. Es wäre gut, wenn es in der Nähe des Industrieparks Suzhou wäre. <endofhistory>	"( attraction ) area equal_to "" Industriepark Suzhou "" , consumption equal_to "" bezahlbare """	area	Industriepark Suzhou
