movie_tv_goal_4-21###6617	4	"DA: <knowledge> ( tv ) available_options "" 1 "" , decade "" 2010s "" , director "" Nobuhiro Doi "" , douban_score "" 9.1 "" , episode_length "" 45 minutes "" , episodes "" 10 episodes "" , name_list "" Matsu Takako/Mitsushima Hikari/Takahashi Issey "" , premiere_time "" 2017-01-17 in Japan "" , production_country_or_area "" Japan "" , star "" Matsu Takako "" , title "" Quartet "" , type "" suspenseful "" <endofknowledge> <state> ( tv ) decade equal_to "" 2010s "" , production_country_or_area equal_to "" Japanese TV show "" , type equal_to "" suspenseful "" <endofstate> <history> AGENT_ACTS_PREV: ( tv ) request type AGENT_ACTS: ( tv ) recommend title equal_to "" Quartet "" USER: When did it premiere? <endofhistory>"	"( tv ) inform premiere_time equal_to "" January 17, 2017 """	premiere_time	January 17, 2017
weather_goal_3-49_v2###10759	1	"DA: <knowledge> ( weather ) available_options "" 1 "" , city "" Xiamen "" , date "" next Sunday "" , tamperature "" The maximum temperature will be 22 degrees Celsius, and the minimum temperature will be 14 degrees Celsius "" , uv_intensity "" very strong "" , weather_condition "" sunny "" , wind "" northeast force 2 "" <endofknowledge> <state> ( weather ) city equal_to "" Xiamen "" , date equal_to "" next Sunday "" <endofstate> <history> USER: I will come to Xiamen next week for work but am still not sure which day I will set out, it depends on the weather. Could you help me check the wind force and direction for next Sunday? <endofhistory>"	"( weather ) inform wind equal_to "" next Sunday in Xiamen """	wind	next Sunday in Xiamen
weather_goal_3-49_v2###10759	5	"DA: <knowledge> ( weather ) available_options "" 1 "" , city "" Xiamen "" , date "" next Sunday "" , tamperature "" The maximum temperature will be 22 degrees Celsius, and the minimum temperature will be 14 degrees Celsius "" , uv_intensity "" very strong "" , weather_condition "" sunny "" , wind "" northeast force 2 "" <endofknowledge> <state> ( weather ) city equal_to "" Xiamen "" , date equal_to "" next Sunday "" <endofstate> <history> AGENT_ACTS_PREV: ( weather ) inform tamperature equal_to "" The maximum temperature will be 22 degrees Celsius, and the minimum temperature will be 14 degrees Celsius "" AGENT_ACTS: ( weather ) inform weather_condition equal_to "" sunny "" USER: Great. How about the temperature? Is that similar to that of next Sunday? <endofhistory>"	"( weather ) inform tamperature equal_to "" The maximum temperature will be 20 degrees Celsius, and the minimum temperature will be 12 degrees Celsius """	tamperature	The maximum temperature will be 20 degrees Celsius, and the minimum temperature will be 12 degrees Celsius
attraction_restaurant_goal_3-66###6081	2	"DA: <knowledge> ( attraction ) address "" No. 11 Kuojiatou Alley, Daichengqiao Road, Gusu District, Suzhou "" , area "" Gusu District "" , available_options "" 1 "" , consumption "" moderate "" , features "" It is a famous fine garden with traditional opera performances at night. "" , metro_station "" false "" , name "" Master of the Nets Garden "" , opening_hours "" 07:30-17:30 "" , phone_number "" 0512-65293190 "" , score "" 4.6 "" , the_most_suitable_people "" friends "" , ticket_price "" 40 yuan "" , type "" Suzhou-style garden "" <endofknowledge> <state> ( attraction ) consumption equal_to "" not that expensive "" , name equal_to "" Master of the Nets Garden "" , type equal_to "" Suzhou-style garden "" <endofstate> <history> AGENT_ACTS: ( attraction ) recommend name equal_to "" Master of the Nets Garden "" USER: It sounds great. Where is it? <endofhistory>"	"( attraction ) inform address equal_to "" No. 11, Kuojiatou Alley, Daichengqiao Road, Gusu District """	address	No. 11, Kuojiatou Alley, Daichengqiao Road, Gusu District
attraction_restaurant_goal_3-66###6081	3	"DST: <state> ( attraction ) consumption equal_to "" not that expensive "" , name equal_to "" Master of the Nets Garden "" , type equal_to "" Suzhou-style garden "" <endofstate> <history> AGENT_ACTS_PREV: ( attraction ) recommend name equal_to "" Master of the Nets Garden "" AGENT_ACTS: ( attraction ) inform address equal_to "" No. 11, Kuojiatou Alley, Daichengqiao Road, Gusu District "" USER: Well, I want to take the subway. Is there a direct subway line to the Master of the Nets Garden? <endofhistory>"	"( attraction ) consumption equal_to "" not that expensive "" , name equal_to "" The Master of the Nets Garden "" , type equal_to "" Suzhou-style garden """	name	The Master of the Nets Garden
attraction_restaurant_goal_3-66###6081	4	"DA: <knowledge> ( attraction ) address "" No. 11 Kuojiatou Alley, Daichengqiao Road, Gusu District, Suzhou "" , area "" Gusu District "" , available_options "" 1 "" , consumption "" moderate "" , features "" It is a famous fine garden with traditional opera performances at night. "" , metro_station "" false "" , name "" Master of the Nets Garden "" , opening_hours "" 07:30-17:30 "" , phone_number "" 0512-65293190 "" , score "" 4.6 "" , the_most_suitable_people "" friends "" , ticket_price "" 40 yuan "" , type "" Suzhou-style garden "" , ( restaurant ) address "" A502, 5F of Xicheng Yongjie Building, No. 19, Guangji South Road "" , area "" Gusu District "" , available_options "" 3 "" , business_hours "" 11:00–14:00 and 16:30–21:30, Monday to Sunday "" , cuisine "" Korean "" , dishes "" stone pot rice "" , metro_station "" true "" , name "" Nongleyuan Charcoal Fire Barbecue "" , per_capita_consumption "" 88 yuan "" , phone_number "" 0512-68659822 "" , pricerange "" moderate "" , score "" 4.6 "" <endofknowledge> <state> ( attraction ) consumption equal_to "" not that expensive "" , name equal_to "" The Master of the Nets Garden "" , type equal_to "" Suzhou-style garden "" , ( restaurant ) cuisine equal_to "" South Korean "" , pricerange equal_to "" moderately priced "" <endofstate> <history> AGENT_ACTS_PREV: ( attraction ) inform address equal_to "" No. 11, Kuojiatou Alley, Daichengqiao Road, Gusu District "" AGENT_ACTS: ( attraction ) inform metro_station equal_to "" no "" USER: Ok, fine. By the way, I want to have some moderately priced South Korean food near the Garden. <endofhistory>"	"( restaurant ) recommend name equal_to "" Seoul South Korean Cuisine """	name	Seoul South Korean Cuisine
attraction_restaurant_goal_3-66###6081	5	"DST: <state> ( attraction ) consumption equal_to "" not that expensive "" , name equal_to "" The Master of the Nets Garden "" , type equal_to "" Suzhou-style garden "" , ( restaurant ) cuisine equal_to "" South Korean "" , pricerange equal_to "" moderately priced "" <endofstate> <history> AGENT_ACTS_PREV: ( attraction ) inform metro_station equal_to "" no "" AGENT_ACTS: ( restaurant ) recommend name equal_to "" Seoul South Korean Cuisine "" USER: Well, it sounds like the cuisine there is authentic. How about the average cost? <endofhistory>"	"( attraction ) consumption equal_to "" not that expensive "" , name equal_to "" The Master of the Nets Garden "" , type equal_to "" Suzhou-style garden "" ( restaurant ) cuisine equal_to "" South Korean "" , name equal_to "" Seoul South Korean Cuisine "" , pricerange equal_to "" fair """	pricerange	fair
attraction_restaurant_goal_2-6_v2###8261	6	"DA: <knowledge> ( attraction ) address "" No. 111, Ren'ai Road, Dushu Lake Higher Education Town, Suzhou Industrial Park, Suzhou City "" , area "" Suzhou Industrial Park "" , available_options "" 1 "" , consumption "" cheap "" , features "" It is a university jointly established by Xi'an Jiaotong University and the University of Liverpool. "" , metro_station "" true "" , name "" Xi'an Jiaotong-Liverpool University "" , opening_hours "" all day "" , phone_number "" 0512-88161071 "" , score "" 4.7 "" , the_most_suitable_people "" friends "" , ticket_price "" free "" , type "" campus "" , ( restaurant ) address "" 4F, Harmony City, No. 269, Wang Dun Road "" , area "" Suzhou Industrial Park "" , available_options "" 1 "" , business_hours "" 10:30-21:30, Monday to Sunday "" , cuisine "" Northwestern "" , dishes "" Big Cow Bone "" , metro_station "" true "" , name "" Xibei Restaurant "" , per_capita_consumption "" 92 yuan "" , phone_number "" 400-8207320 "" , pricerange "" moderate "" , score "" 4.6 "" <endofknowledge> <state> ( attraction ) area equal_to "" Suzhou Industrial Park "" , consumption equal_to "" affordable "" , name equal_to "" Xi'an Jiaotong-Liverpool University "" , ( restaurant ) name equal_to "" Xibei Restaurant "" , pricerange equal_to "" moderately priced "" <endofstate> <history> AGENT_ACTS_PREV: ( restaurant ) inform name equal_to "" Xibei Restaurant "" AGENT_ACTS: ( restaurant ) inform phone_number equal_to "" 400-8207320 "" USER: How about its opening hours? <endofhistory>"	"( restaurant ) inform business_hours equal_to "" Monday to Sunday, 10:30-21:30. """	business_hours	Monday to Sunday, 10:30-21:30.
attraction_restaurant_hotel_goal_3-13###4792	2	"DA: <knowledge> ( hotel ) address "" No. 5-9, Nanxin Street, Lili Town, Wujiang District, Suzhou "" , area "" Wujiang District "" , available_options "" 2 "" , hotel_type "" business "" , name "" Suzhou Shui'an Hanshe Boutique Hotel "" , parking "" free "" , phone_number "" 180-5181-5602 "" , pricerange "" slightly expensive "" , room_charge "" 629 yuan "" , room_type "" king-size room "" , score "" 4.6 "" , star "" 5 "" <endofknowledge> <state> ( hotel ) area equal_to "" Wujiang District "" , name equal_to "" Shui'an Hanshe Boutique "" , pricerange equal_to "" a bit more expensive "" <endofstate> <history> AGENT_ACTS: ( hotel ) greeting , recommend name equal_to "" Shui'an Hanshe Boutique "" USER: What is the contact number of the hotel and how much are their rooms? <endofhistory>"	"( hotel ) inform phone_number equal_to "" 180-5181-5602 "" , inform room_charge equal_to "" ['789 yuan or 629 yuan'] | ['789 yuan or 629 yuan'] """	room_charge	['789 yuan or 629 yuan']
attraction_restaurant_hotel_goal_3-13###4792	2	"DA: <knowledge> ( hotel ) address "" No. 5-9, Nanxin Street, Lili Town, Wujiang District, Suzhou "" , area "" Wujiang District "" , available_options "" 2 "" , hotel_type "" business "" , name "" Suzhou Shui'an Hanshe Boutique Hotel "" , parking "" free "" , phone_number "" 180-5181-5602 "" , pricerange "" slightly expensive "" , room_charge "" 629 yuan "" , room_type "" king-size room "" , score "" 4.6 "" , star "" 5 "" <endofknowledge> <state> ( hotel ) area equal_to "" Wujiang District "" , name equal_to "" Shui'an Hanshe Boutique "" , pricerange equal_to "" a bit more expensive "" <endofstate> <history> AGENT_ACTS: ( hotel ) greeting , recommend name equal_to "" Shui'an Hanshe Boutique "" USER: What is the contact number of the hotel and how much are their rooms? <endofhistory>"	"( hotel ) inform phone_number equal_to "" 180-5181-5602 "" , inform room_charge equal_to "" ['789 yuan or 629 yuan'] | ['789 yuan or 629 yuan'] """	room_charge	['789 yuan or 629 yuan']
attraction_restaurant_hotel_goal_3-13###4792	4	"DA: <knowledge> ( attraction ) address "" Tongli Ancient Town, Wujiang District, Suzhou City "" , area "" Wujiang District "" , available_options "" 1 "" , consumption "" slightly expensive "" , features "" a Jiangnan water town surrounded by five lakes. You can walk across the Three Bridges and visit the exquisite Retreat & Reflection Garden "" , metro_station "" false "" , name "" Tongli Town "" , opening_hours "" 07:30-17:30 "" , phone_number "" 0512-63325728 "" , score "" 4.5 "" , the_most_suitable_people "" friends "" , ticket_price "" 100 yuan "" , type "" water town "" , ( hotel ) address "" No. 5-9, Nanxin Street, Lili Town, Wujiang District, Suzhou "" , area "" Wujiang District "" , available_options "" 2 "" , hotel_type "" business "" , name "" Suzhou Shui'an Hanshe Boutique Hotel "" , parking "" free "" , phone_number "" 180-5181-5602 "" , pricerange "" slightly expensive "" , room_charge "" 629 yuan "" , room_type "" king-size room "" , score "" 4.6 "" , star "" 5 "" <endofknowledge> <state> ( attraction ) area equal_to "" Wujiang District "" , name equal_to "" Tongli Town "" , type equal_to "" water town "" , ( hotel ) area equal_to "" Wujiang District "" , name equal_to "" Shui'an Hanshe Boutique "" , pricerange equal_to "" a bit more expensive "" <endofstate> <history> AGENT_ACTS_PREV: ( hotel ) inform phone_number equal_to "" 180-5181-5602 "" , inform room_charge equal_to "" ['789 yuan or 629 yuan'] | ['789 yuan or 629 yuan'] "" AGENT_ACTS: ( attraction ) recommend name equal_to "" Tongli Town "" USER: So, how about its rating and opening hours? <endofhistory>"	"( attraction ) inform opening_hours equal_to "" 07:30 to 17:30 "" , inform score equal_to "" 4.5 """	opening_hours	07:30 to 17:30
flight_weather_goal_1-35_v2###11046	1	"DA: <knowledge> ( flight ) arrival_time "" 13:30 that day "" , available_options "" 1 "" , class_cabin "" economy class "" , date "" next Friday "" , departure "" Hangzhou "" , departure_time "" 11:15 that day "" , destination "" Shenzhen "" , flight_information "" HU7394 of Hainan Airlines, from Terminal 3 of Hangzhou International Airport to Terminal 3 of Bao'an International Airport "" , punctuality_rate "" 91.29% "" , ticket_price "" 450 yuan "" <endofknowledge> <state> ( flight ) class_cabin equal_to "" economy class "" , date equal_to "" next Friday "" , departure equal_to "" Hangzhou "" , destination equal_to "" Shenzhen "" <endofstate> <history> USER: Hello, I'm going on a business trip next week. Please help me check the flights from Hangzhou to Shenzhen next Friday, preferably in economy class. <endofhistory>"	"( flight ) recommend flight_information equal_to "" HU7394 of Hainan Airlines from Terminal 3 of Hangzhou International Airport to Terminal 3 of Shenzhen Baoan International Airport """	flight_information	HU7394 of Hainan Airlines from Terminal 3 of Hangzhou International Airport to Terminal 3 of Shenzhen Baoan International Airport
flight_weather_goal_1-35_v2###11046	3	"DA: <knowledge> ( flight ) arrival_time "" 13:30 that day "" , available_options "" 1 "" , class_cabin "" economy class "" , date "" next Friday "" , departure "" Hangzhou "" , departure_time "" 11:15 that day "" , destination "" Shenzhen "" , flight_information "" HU7394 of Hainan Airlines, from Terminal 3 of Hangzhou International Airport to Terminal 3 of Bao'an International Airport "" , punctuality_rate "" 91.29% "" , ticket_price "" 450 yuan "" <endofknowledge> <state> ( flight ) class_cabin equal_to "" economy class "" , date equal_to "" next Friday "" , departure equal_to "" Hangzhou "" , destination equal_to "" Shenzhen "" <endofstate> <history> AGENT_ACTS_PREV: ( flight ) recommend flight_information equal_to "" HU7394 of Hainan Airlines from Terminal 3 of Hangzhou International Airport to Terminal 3 of Shenzhen Baoan International Airport "" AGENT_ACTS: ( flight ) inform punctuality_rate equal_to "" 91.29% "" USER: I want my friend to pick me up, what time will the flight arrive? <endofhistory>"	"( flight ) inform arrival_time equal_to "" 13:30 that day. """	arrival_time	13:30 that day.
flight_weather_goal_1-35_v2###11046	4	"DA: <knowledge> ( flight ) arrival_time "" 13:30 that day "" , available_options "" 1 "" , class_cabin "" economy class "" , date "" next Friday "" , departure "" Hangzhou "" , departure_time "" 11:15 that day "" , destination "" Shenzhen "" , flight_information "" HU7394 of Hainan Airlines, from Terminal 3 of Hangzhou International Airport to Terminal 3 of Bao'an International Airport "" , punctuality_rate "" 91.29% "" , ticket_price "" 450 yuan "" <endofknowledge> <state> ( flight ) class_cabin equal_to "" economy class "" , date equal_to "" next Friday "" , departure equal_to "" Hangzhou "" , destination equal_to "" Shenzhen "" <endofstate> <history> AGENT_ACTS_PREV: ( flight ) inform punctuality_rate equal_to "" 91.29% "" AGENT_ACTS: ( flight ) inform arrival_time equal_to "" 13:30 that day. "" USER: How about the departure time of the flight? <endofhistory>"	"( flight ) inform departure_time equal_to "" at 11:15 that day. """	departure_time	at 11:15 that day.
restaurant_goal_1-60###5222	1	"DA: <knowledge> ( restaurant ) address "" No. 21 Building, Li Gongdi Phase 3 "" , area "" Suzhou Industrial Park "" , available_options "" 1 "" , business_hours "" 11:30-21:00, Monday to Sunday "" , cuisine "" Korean "" , dishes "" Kimchi Pie "" , metro_station "" false "" , name "" Qing He Gu "" , per_capita_consumption "" 154 yuan "" , phone_number "" 0512-67635689 "" , pricerange "" slightly expensive "" , score "" 4.8 "" <endofknowledge> <state> ( restaurant ) area equal_to "" Suzhou Industrial Park "" , cuisine equal_to "" South Korean "" <endofstate> <history> USER: Hi, my family and I just came to Suzhou for a trip. We are staying in Suzhou Industrial Park. Can you help me find a South Korean restaurant? The price does not matter. <endofhistory>"	"( restaurant ) recommend name equal_to "" QingHeGu """	name	QingHeGu
movie_tv_goal_1-18###6346	3	"DA: <knowledge> ( movie ) available_options "" 1 "" , decade "" 2000s "" , director "" Jay Chou "" , douban_score "" 7.8 "" , film_length "" 101 minutes "" , name_list "" Jay Chou/Gwei Lun-mei/Anthony Wong/Su Ming-ming "" , production_country_or_area "" Taiwan, China "" , release_date "" 2007-07-27 in Taiwan, China / 2007-07-31 in the Chinese mainland "" , star "" Jay Chou "" , title "" Secret "" , type "" romantic "" <endofknowledge> <state> ( movie ) decade equal_to "" the 2000s "" , production_country_or_area equal_to "" Taiwan, China "" , type equal_to "" romantic movie "" <endofstate> <history> AGENT_ACTS_PREV: ( movie ) request decade AGENT_ACTS: ( movie ) recommend title equal_to "" Secret "" USER: Who's starring in this film? What about its runtime? <endofhistory>"	"( movie ) inform film_length equal_to "" 101 minutes "" , inform name_list equal_to "" Jay Chou, Gwei Lun-mei, Anthony Wong Chau Sang and Su Mingming. """	name_list	Jay Chou, Gwei Lun-mei, Anthony Wong Chau Sang and Su Mingming.
