	source	target	source_entity	target_entity	source_span	target_span	dialogue_id	turn_id	utterance_type	source_word_span	target_word_span
30	Ok, can you check the address and phone number of it? Is it near a subway station?	Ok, können Sie die Adresse und Telefonnummer davon überprüfen? Ist es in der Nähe einer U-Bahnstation?	[]	[]	[]	[]	attraction_restaurant_goal_2-18###5165	4	user	[]	[]
31	The restaurant is at No. 3, Chuanfang Alley, North of Pingjiang Road. The phone number is 139-6217-0368. There is no direct subway line to it.	Das Restaurant befindet sich in der Chuanfang Alley Nr. 3, nördlich der Pingjiang Road. Die Telefonnummer ist 139-6217-0368. Es gibt keine direkte U-Bahnlinie dorthin.	['No. 3, Chuanfang Alley, North of Pingjiang Road.', '139-6217-0368.', 'no direct subway line to it.']	['Chuanfang Alley Nr. 3, nördlich der Pingjiang Road.', '139-6217-0368.', 'keine direkte U-Bahnlinie dorthin.']	[[21, 69], [90, 104], [114, 142]]	[[36, 87], [110, 124], [133, 167]]	attraction_restaurant_goal_2-18###5165	4	system	[[4, 12], [16, 17], [19, 25]]	[[6, 14], [17, 18], [20, 24]]
32	Well, are there any other transportation options? Can you recommend some?	Nun, gibt es andere Transportmöglichkeiten? Könnt ihr welche empfehlen?	[]	[]	[]	[]	attraction_restaurant_goal_2-18###5165	5	user	[]	[]
33	You can take other public transportation or drive there, both are convenient.	Sie können andere öffentliche Verkehrsmittel nehmen oder dorthin fahren, beides ist bequem.	[]	[]	[]	[]	attraction_restaurant_goal_2-18###5165	5	system	[]	[]
34	Ok, thanks for your patient service, see you.	Ok, danke für deinen geduldigen Service, bis dann.	[]	[]	[]	[]	attraction_restaurant_goal_2-18###5165	6	user	[]	[]
35	You are welcome. Phone me any time you need help, goodbye.	Gern geschehen. Rufen Sie mich an, wann immer Sie Hilfe brauchen, auf Wiedersehen.	[]	[]	[]	[]	attraction_restaurant_goal_2-18###5165	6	system	[]	[]
36	Hello, I want to buy a gas-powered SUV, can you recommend one within 150,000 yuan?	Hallo, ich möchte einen gasbetriebenen SUV kaufen. Können Sie mir einen im Bereich von 150.000 Yuan empfehlen?	['gas-powered', 'SUV,', 'within 150,000 yuan?']	['gasbetriebenen', 'SUV', 'im Bereich von 150.000 Yuan']	[[23, 34], [35, 39], [62, 82]]	[[24, 38], [39, 42], [72, 99]]	Car_goal_5-38_v2###8539	0	user	[[6, 7], [7, 8], [12, 15]]	[[4, 5], [5, 6], [11, 16]]
37	Well, Volkswagen T-Cross with a 1.5 L petrol engine will suit your needs.	Nun, Volkswagen T-Cross mit einem 1,5-Liter-Benzinmotor wird Ihren Bedürfnissen entsprechen.	['Volkswagen T-Cross with a 1.5 L petrol engine']	['Volkswagen T-Cross mit einem 1,5-Liter-Benzinmotor']	[[6, 51]]	[[5, 55]]	Car_goal_5-38_v2###8539	0	system	[[1, 9]]	[[1, 6]]
38	Does it have cruise control?	Hat es einen Tempomat?	[]	[]	[]	[]	Car_goal_5-38_v2###8539	1	user	[]	[]
39	Sure, it has.	Sicher, das hat es.	['Sure, it has.']	['Sicher, das hat es.']	[[0, 13]]	[[0, 19]]	Car_goal_5-38_v2###8539	1	system	[[0, 3]]	[[0, 4]]
40	How about the reverse camera?	Wie sieht es mit der Rückfahrkamera aus?	[]	[]	[]	[]	Car_goal_5-38_v2###8539	2	user	[]	[]
41	Sorry, this model does not have this function.	Dieses Modell verfügt leider nicht über diese Funktion.	['does not have']	['verfügt leider nicht über']	[[18, 31]]	[[14, 39]]	Car_goal_5-38_v2###8539	2	system	[[3, 6]]	[[2, 6]]
42	Does it have ventilated seats?	Hat er belüftete Sitze?	[]	[]	[]	[]	Car_goal_5-38_v2###8539	3	user	[]	[]
43	Sorry, this model also does not have this function.	Auch dieses Modell verfügt leider nicht über diese Funktion.	['does not have']	['verfügt leider nicht über']	[[23, 36]]	[[19, 44]]	Car_goal_5-38_v2###8539	3	system	[[4, 7]]	[[3, 7]]
44	Got it. Thanks, bye.	Alles klar. Danke Tschüss.	[]	[]	[]	[]	Car_goal_5-38_v2###8539	4	user	[]	[]
45	My pleasure. I'm glad to be at your service, goodbye.	Freut mich. Ich bin froh, zu Ihren Diensten zu sein, auf Wiedersehen.	[]	[]	[]	[]	Car_goal_5-38_v2###8539	4	system	[]	[]
46	Hi, how's it going? My friend will come to Suzhou to visit me and I want to find a bit more expensive restaurant where I could take him. It would be nice if it is near Suzhou Industrial Park. Do you have any recommendations?	Hi, wie geht's? Mein Freund wird nach Suzhou kommen, um mich zu besuchen, und ich möchte ein etwas teureres Restaurant finden, wo ich ihn mitnehmen könnte. Es wäre schön, wenn es in der Nähe des Industrieparks Suzhou wäre. Haben Sie Empfehlungen?	['a bit more expensive', 'Suzhou Industrial Park.']	['etwas teureres', 'Industrieparks Suzhou']	[[81, 101], [168, 191]]	[[93, 107], [195, 216]]	restaurant_hotel_goal_2-63_v2###7740	0	user	[[18, 22], [36, 39]]	[[17, 19], [35, 37]]
47	Ok, here I recommend Haidilao Hot Pot. It is a nice choice.	Ok, hier empfehle ich Haidilao Hot Pot. Es ist eine gute Wahl.	['Haidilao Hot Pot.']	['Haidilao Hot Pot.']	[[21, 38]]	[[22, 39]]	restaurant_hotel_goal_2-63_v2###7740	0	system	[[4, 7]]	[[4, 7]]
48	Good, we love hot pot. What is its phone number?	Gut, wir lieben Hot Pot. Wie lautet seine Telefonnummer?	['hot pot.']	['Hot Pot.']	[[14, 22]]	[[16, 24]]	restaurant_hotel_goal_2-63_v2###7740	1	user	[[3, 5]]	[[3, 5]]
49	It's 0512-67603337.	Sie lautet 0512-67603337.	['0512-67603337.']	['0512-67603337.']	[[5, 19]]	[[11, 25]]	restaurant_hotel_goal_2-63_v2###7740	1	system	[[1, 2]]	[[2, 3]]
50	Got it. Can you help me check the opening hours?	Ich habs. Können Sie mir helfen, die Öffnungszeiten zu überprüfen?	[]	[]	[]	[]	restaurant_hotel_goal_2-63_v2###7740	2	user	[]	[]
51	No problems. It is open from Monday to Sunday, 09:00-07:00.	Kein Problem. Es ist von Montag bis Sonntag von 09:00 bis 07:00 Uhr geöffnet.	['from Monday to Sunday, 09:00-07:00.']	['von Montag bis Sonntag von 09:00 bis 07:00 Uhr']	[[24, 59]]	[[21, 67]]	restaurant_hotel_goal_2-63_v2###7740	2	system	[[5, 10]]	[[4, 13]]
52	Wow, it is open all night, then we can stay a bit longer. Could you find a not that expensive hotel with standard rooms?	Wow, es ist die ganze Nacht geöffnet, dann können wir etwas länger bleiben. Könnten Sie ein nicht so teures Hotel mit Standardzimmern finden?	['not that expensive', 'standard rooms']	['nicht so teures', 'Standardzimmern']	[[75, 93], [105, 119]]	[[92, 107], [118, 133]]	restaurant_hotel_goal_2-63_v2###7740	3	user	[[17, 20], [22, 24]]	[[16, 19], [21, 22]]
53	Womu Boutique Hotel would be a good choice.	Womu Boutique Hotel wäre eine gute Wahl.	['Womu Boutique Hotel']	['Womu Boutique Hotel']	[[0, 19]]	[[0, 19]]	restaurant_hotel_goal_2-63_v2###7740	3	system	[[0, 3]]	[[0, 3]]
54	Ok, how about its rating? My friend prefers high-rated hotels.	Ok, wie sieht es mit der Bewertung aus? Mein Freund bevorzugt hoch bewertete Hotels.	[]	[]	[]	[]	restaurant_hotel_goal_2-63_v2###7740	4	user	[]	[]
55	It does have a high rating of 4.7. Your friend will be pleased about it.	Es hat eine hohe Bewertung von 4,7. Ihr Freund wird sich darüber freuen.	['4.7.']	['4,7.']	[[30, 34]]	[[31, 35]]	restaurant_hotel_goal_2-63_v2###7740	4	system	[[7, 8]]	[[6, 7]]
56	Indeed, he will love it. By the way, does it have a parking lot?	Tatsächlich wird er es lieben. Übrigens, hat es einen Parkplatz?	[]	[]	[]	[]	restaurant_hotel_goal_2-63_v2###7740	5	user	[]	[]
57	Yes, it has a free parking lot.	Ja, es hat einen kostenlosen Parkplatz.	['free']	['kostenlosen']	[[14, 18]]	[[17, 28]]	restaurant_hotel_goal_2-63_v2###7740	5	system	[[4, 5]]	[[4, 5]]
58	Perfect, thank you for your warm advice.	Perfekt, vielen Dank für Ihre herzliche Beratung.	[]	[]	[]	[]	restaurant_hotel_goal_2-63_v2###7740	6	user	[]	[]
59	Sure, any other questions?	Sicher, noch weitere Fragen?	[]	[]	[]	[]	restaurant_hotel_goal_2-63_v2###7740	6	system	[]	[]
60	No, thank you again, bye.	Nein, danke nochmal, tschüss.	[]	[]	[]	[]	restaurant_hotel_goal_2-63_v2###7740	7	user	[]	[]
61	Ok, bye.	Ok, tschüss.	[]	[]	[]	[]	restaurant_hotel_goal_2-63_v2###7740	7	system	[]	[]
62	We will take a trip to Suzhou as the first destination of our graduation trip. Could you recommend some hotels in Suzhou New District?	Als erstes Ziel unserer Abschlussreise werden wir eine Reise nach Suzhou unternehmen. Könnt ihr mir ein paar Hotels im Suzhou New District empfehlen?	['Suzhou New District?']	['Suzhou New District']	[[114, 134]]	[[119, 138]]	attraction_restaurant_hotel_goal_3-46###6201	0	user	[[21, 24]]	[[19, 22]]
63	New City Grand Rezen Hotel may be a good choice.	Das New City Grand Rezen Hotel könnte eine gute Wahl sein.	['New City Grand Rezen Hotel']	['New City Grand Rezen Hotel']	[[0, 26]]	[[4, 30]]	attraction_restaurant_hotel_goal_3-46###6201	0	system	[[0, 5]]	[[1, 6]]
64	I prefer a bit more expensive hotels, thanks.	Ich bevorzuge etwas teurere Hotels, danke.	['a bit more expensive']	['etwas teurere']	[[9, 29]]	[[14, 27]]	attraction_restaurant_hotel_goal_3-46###6201	1	user	[[2, 6]]	[[2, 4]]
65	Then this is the one you want, it is a bit more expensive.	Dann ist dies das, was Sie wollen, es ist etwas teurer.	['a bit more expensive.']	['etwas teurer.']	[[37, 58]]	[[42, 55]]	attraction_restaurant_hotel_goal_3-46###6201	1	system	[[9, 13]]	[[9, 11]]
66	How about the price of one room in this hotel?	Wie ist mit dem Preis für ein Zimmer in diesem Hotel?	[]	[]	[]	[]	attraction_restaurant_hotel_goal_3-46###6201	2	user	[]	[]
67	It is 919 yuan.	Es sind 919 Yuan.	['919 yuan.']	['919 Yuan.']	[[6, 15]]	[[8, 17]]	attraction_restaurant_hotel_goal_3-46###6201	2	system	[[2, 4]]	[[2, 4]]
68	Good, what is the phone number?	Gut, wie lautet die Telefonnummer?	[]	[]	[]	[]	attraction_restaurant_hotel_goal_3-46###6201	3	user	[]	[]
69	Alright, it is 0512-68182888.	In Ordnung, sie lautet 0512-68182888.	['0512-68182888.']	['0512-68182888.']	[[15, 29]]	[[23, 37]]	attraction_restaurant_hotel_goal_3-46###6201	3	system	[[3, 4]]	[[4, 5]]
70	Could you recommend some popular landscape scenic spots in this district?	Können Sie einige beliebte landschaftlich reizvolle Orte in diesem Bezirk empfehlen?	['landscape scenic spots']	['beliebte landschaftlich reizvolle Orte']	[[33, 55]]	[[18, 56]]	attraction_restaurant_hotel_goal_3-46###6201	4	user	[[5, 8]]	[[3, 7]]
71	I'd recommend Tianping Mountain Scenic Area.	Ich würde die Landschaft des Tianping Berges empfehlen.	['Tianping Mountain Scenic Area.']	['Landschaft des Tianping Berges']	[[14, 44]]	[[14, 44]]	attraction_restaurant_hotel_goal_3-46###6201	4	system	[[2, 6]]	[[3, 7]]
72	How about the ticket of this scenic area? How much is it?	Wie wäre es mit dem Ticket für dieses Naturgebiet? Wie viel kostet das?	[]	[]	[]	[]	attraction_restaurant_hotel_goal_3-46###6201	5	user	[]	[]
73	The ticket is 30 yuan.	Das Ticket kostet 30 Yuan.	['30 yuan.']	['30 Yuan.']	[[14, 22]]	[[18, 26]]	attraction_restaurant_hotel_goal_3-46###6201	5	system	[[3, 5]]	[[3, 5]]
74	Ok, can you tell me its phone number?	Ok, kannst du mir die Telefonnummer sagen?	[]	[]	[]	[]	attraction_restaurant_hotel_goal_3-46###6201	6	user	[]	[]
75	It's 0512-66387422.	Es ist 0512-66387422.	['0512-66387422.']	['0512-66387422.']	[[5, 19]]	[[7, 21]]	attraction_restaurant_hotel_goal_3-46###6201	6	system	[[1, 2]]	[[2, 3]]
76	Could you perhaps help me find a nice hot pot restaurant around here?	Könnten Sie mir vielleicht helfen, hier in der Nähe ein nettes Hot-Pot Restaurant zu finden?	['hot pot']	['Hot-Pot']	[[38, 45]]	[[63, 70]]	attraction_restaurant_hotel_goal_3-46###6201	7	user	[[8, 10]]	[[11, 12]]
77	Sichuan Xiang Tian Xia Hot Pot is the one that meets your needs.	Sichuan Xiang Tian Xia Hot Pot ist genau das Richtige für Ihre Bedürfnisse.	['Sichuan Xiang Tian Xia Hot Pot']	['Sichuan Xiang Tian Xia Hot Pot']	[[0, 30]]	[[0, 30]]	attraction_restaurant_hotel_goal_3-46###6201	7	system	[[0, 6]]	[[0, 6]]
78	Thank you for your help, bye!	Vielen Dank für Ihre Hilfe, tschüss!	[]	[]	[]	[]	attraction_restaurant_hotel_goal_3-46###6201	8	user	[]	[]
79	My pleasure, goodbye.	Gerne, auf Wiedersehen.	[]	[]	[]	[]	attraction_restaurant_hotel_goal_3-46###6201	8	system	[]	[]
80	Hi, my child doesn't feel well and I want to take her to a pediatric clinic. Which general hospital has a good pediatric clinic?	Hallo, meinem Kind geht es nicht gut und ich möchte es in eine Kinderklinik bringen. Welches Allgemeinkrankenhaus hat eine gute Kinderklinik?	['general hospital']	['Allgemeinkrankenhaus']	[[83, 99]]	[[93, 113]]	Hospital_goal_4-49###4239	0	user	[[17, 19]]	[[16, 17]]
81	Hello, you can go to Suzhou Kowloon Hospital for a good pediatric clinic.	Hallo, Sie können zum Suzhou Kowloon Krankenhaus gehen, um eine gute Kinderklinik zu finden.	['Suzhou Kowloon Hospital', 'pediatric clinic.']	['Suzhou Kowloon Krankenhaus', 'Kinderklinik']	[[21, 44], [56, 73]]	[[22, 48], [69, 81]]	Hospital_goal_4-49###4239	0	system	[[5, 8], [11, 13]]	[[4, 7], [11, 12]]
82	What's the phone number of this hospital? I need to call in advance for inquiries.	Wie lautet die Telefonnummer dieses Krankenhauses? Für Rückfragen muss ich vorher anrufen.	[]	[]	[]	[]	Hospital_goal_4-49###4239	1	user	[]	[]
83	The phone number of this hospital is 62629999.	Die Telefonnummer dieses Krankenhauses ist 62629999.	['62629999.']	['62629999.']	[[37, 46]]	[[43, 52]]	Hospital_goal_4-49###4239	1	system	[[7, 8]]	[[5, 6]]
84	How about the address?	Wie lautet die Adresse?	[]	[]	[]	[]	Hospital_goal_4-49###4239	2	user	[]	[]
85	It is at No. 118, Wansheng Street.	Es befindet sich in der Wansheng Straße Nr. 118.	['No. 118, Wansheng Street.']	['Wansheng Straße Nr. 118.']	[[9, 34]]	[[24, 48]]	Hospital_goal_4-49###4239	2	system	[[3, 7]]	[[5, 9]]
86	By the way, does it have a CT scan?	Übrigens, hat es einen CT-Scan?	[]	[]	[]	[]	Hospital_goal_4-49###4239	3	user	[]	[]
87	Yes, it has a CT scan.	Ja, es hat einen CT-Scan.	['Yes,']	['Ja,']	[[0, 4]]	[[0, 3]]	Hospital_goal_4-49###4239	3	system	[[0, 1]]	[[0, 1]]
88	If I go there by bus, which bus should I take?	Wenn ich mit dem Bus dorthin fahre, welchen Bus soll ich nehmen?	[]	[]	[]	[]	Hospital_goal_4-49###4239	4	user	[]	[]
89	You can take bus No. 2, No. 47, No. 106, No. 206, No. 215, No. 258, No. 6, No. 108, No. 110, No. 116, or No. 166 bus.	Sie können den Bus Nr. 2, Nr. 47, Nr. 106, Nr. 206, Nr. 215, Nr. 258, Nr. 6, Nr. 108, Nr. 110, Nr. 116 oder Nr. 166 nehmen.	['No. 2, No. 47, No. 106, No. 206, No. 215, No. 258, No. 6, No. 108, No. 110, No. 116, or No. 166']	['Nr. 2, Nr. 47, Nr. 106, Nr. 206, Nr. 215, Nr. 258, Nr. 6, Nr. 108, Nr. 110, Nr. 116 oder Nr. 166']	[[17, 112]]	[[19, 115]]	Hospital_goal_4-49###4239	4	system	[[4, 27]]	[[4, 27]]
90	Got it, thank you so much. Bye.	Verstanden, vielen Dank. Wiedersehen.	[]	[]	[]	[]	Hospital_goal_4-49###4239	5	user	[]	[]
91	My pleasure, goodbye.	Gerne, auf Wiedersehen.	[]	[]	[]	[]	Hospital_goal_4-49###4239	5	system	[]	[]
92	Hi, I just arrived in Suzhou for my trip. Can you help me find a 4-star hotel in Changshu?	Hallo, ich bin gerade für meine Reise in Suzhou angekommen. Können Sie mir helfen, ein 4-Sterne Hotel in Changshu zu finden?	['Suzhou', '4-star', 'Changshu?']	['Suzhou', '4-Sterne', 'Changshu']	[[22, 28], [65, 71], [81, 90]]	[[41, 47], [87, 95], [105, 113]]	attraction_restaurant_hotel_goal_4-66_v2###2033	0	user	[[5, 6], [15, 16], [18, 19]]	[[8, 9], [15, 16], [18, 19]]
93	In Changshu, Atour Hotel in Changjiang Road is suitable for you.	In Changshu ist das Atour Hotel in der Changjiang Straße für Sie geeignet.	['Changshu', 'Atour Hotel in Changjiang Road']	['Changshu', 'Atour Hotel in der Changjiang Straße']	[[3, 11], [13, 43]]	[[3, 11], [20, 56]]	attraction_restaurant_hotel_goal_4-66_v2###2033	0	system	[[1, 2], [2, 7]]	[[1, 2], [4, 10]]
94	How much is a king-size room?	Wie viel kostet ein Zimmer mit Kingsize-Bett?	['king-size room?']	['Zimmer mit Kingsize-Bett?']	[[14, 29]]	[[20, 45]]	attraction_restaurant_hotel_goal_4-66_v2###2033	1	user	[[4, 6]]	[[4, 7]]
95	It is 312 yuan.	Es sind 312 Yuan.	['312 yuan.']	['312 Yuan.']	[[6, 15]]	[[8, 17]]	attraction_restaurant_hotel_goal_4-66_v2###2033	1	system	[[2, 4]]	[[2, 4]]
96	I know that Mudu Town is quite famous in Suzhou. Can you tell me its opening hours?	Ich weiß, dass Mudu Town in Suzhou ziemlich berühmt ist. Können Sie mir die Öffnungszeiten sagen?	['Mudu Town', 'Suzhou.']	['Mudu Town', 'Suzhou']	[[12, 21], [41, 48]]	[[15, 24], [28, 34]]	attraction_restaurant_hotel_goal_4-66_v2###2033	2	user	[[3, 5], [9, 10]]	[[3, 5], [6, 7]]
97	It is usually open 08:30-17:00.	Es ist normalerweise von 08:30 bis 17:00 Uhr geöffnet.	['08:30-17:00.']	['von 08:30 bis 17:00 Uhr']	[[19, 31]]	[[21, 44]]	attraction_restaurant_hotel_goal_4-66_v2###2033	2	system	[[4, 5]]	[[3, 8]]
98	How much is the ticket? Is it free?	Was kostet dieses Ticket? Ist es kostenlos?	[]	[]	[]	[]	attraction_restaurant_hotel_goal_4-66_v2###2033	3	user	[]	[]
99	Yes, it is free.	Ja, es ist kostenlos.	['free']	['kostenlos']	[[11, 15]]	[[11, 20]]	attraction_restaurant_hotel_goal_4-66_v2###2033	3	system	[[3, 4]]	[[3, 4]]
100	I also want to try some good food. I heard Laotianqiao Frog Hot Pot is nice, so does it have a high rating?	Ich möchte auch gutes Essen probieren. Ich habe gehört, Laotianqiao Frog Hot Pot ist nett, hat es also eine hohe Bewertung?	['Laotianqiao Frog Hot Pot']	['Laotianqiao Frog Hot Pot']	[[43, 67]]	[[56, 80]]	attraction_restaurant_hotel_goal_4-66_v2###2033	4	user	[[10, 14]]	[[9, 13]]
101	Its rating is 4.6.	Seine Bewertung ist 4,6.	['4.6.']	['4,6.']	[[14, 18]]	[[20, 24]]	attraction_restaurant_hotel_goal_4-66_v2###2033	4	system	[[3, 4]]	[[3, 4]]
102	Any recommendations for what to order at this restaurant?	Irgendwelche Empfehlungen, was man in diesem Restaurant bestellen sollte?	[]	[]	[]	[]	attraction_restaurant_hotel_goal_4-66_v2###2033	5	user	[]	[]
